City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Qaanaaq,GL,77.484,-69.3632,27.55,63,0,6.96,clear sky
80,Linkou,CN,45.3,130.2833,61.93,92,10,6.71,clear sky
81,Hithadhoo,MV,-0.6,73.0833,81.32,73,11,4.65,few clouds
82,Albany,US,42.6001,-73.9662,69.73,72,41,3.69,scattered clouds
83,Port Hardy,CA,50.6996,-127.4199,60.98,59,20,11.5,few clouds
84,Lebu,CL,-37.6167,-73.65,46.81,66,93,12.03,overcast clouds
85,Bluff,NZ,-46.6,168.3333,46.8,68,100,8.95,overcast clouds
86,Kodiak,US,57.79,-152.4072,65.71,32,0,9.22,clear sky
87,Kalamnuri,IN,19.6667,77.3333,71.51,92,23,7.96,few clouds
88,Leh,IN,34.1667,77.5833,50.63,46,7,5.66,clear sky
89,Codrington,AU,-38.2667,141.9667,50.59,83,100,17.22,overcast clouds
90,Vaini,TO,-21.2,-175.2,78.96,73,75,13.8,broken clouds
91,Vardo,NO,70.3705,31.1107,44.58,93,100,19.57,overcast clouds
92,Atuona,PF,-9.8,-139.0333,77.07,74,8,19.66,clear sky
93,Leningradskiy,RU,69.3833,178.4167,33.28,100,100,18.39,snow
94,Laguna,US,38.421,-121.4238,81.09,44,0,13.8,clear sky
95,Salalah,OM,17.0151,54.0924,80.69,94,75,3.44,broken clouds
96,Xining,CN,36.6167,101.7667,55.89,81,100,2.51,overcast clouds
97,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,71,75,10.36,broken clouds
98,Butaritari,KI,3.0707,172.7902,82.99,65,77,10.29,broken clouds
99,Thompson,CA,55.7435,-97.8558,66.36,52,75,6.91,broken clouds
100,Hilo,US,19.7297,-155.09,88.29,69,20,10.36,few clouds
101,Cape Town,ZA,-33.9258,18.4232,55.11,71,40,8.05,scattered clouds
102,Mahebourg,MU,-20.4081,57.7,71.26,78,40,13.8,scattered clouds
103,Faanui,PF,-16.4833,-151.75,78.22,67,4,19.01,clear sky
104,Young,UY,-32.6833,-57.6333,61.57,79,100,8.72,overcast clouds
105,Airai,TL,-8.9266,125.4092,58.82,68,81,1.77,broken clouds
106,Vestmannaeyjar,IS,63.4427,-20.2734,49.12,79,82,20.27,broken clouds
107,Saint Anthony,US,45.0205,-93.218,83.77,58,0,12.66,clear sky
108,Saint John,CA,45.2727,-66.0677,61.83,48,75,6.91,broken clouds
109,Altay,CN,47.8667,88.1167,44.33,40,0,6.04,clear sky
110,Alofi,NU,-19.0595,-169.9187,82.29,65,13,13.8,few clouds
111,Pangody,RU,65.85,74.4859,48.0,72,100,11.68,overcast clouds
112,Agadez,NE,19.75,10.25,90.36,31,7,11.12,clear sky
113,Havoysund,NO,70.9963,24.6622,46.63,89,100,25.26,light rain
114,Balaipungut,ID,1.05,101.2833,72.46,99,100,3.76,light rain
115,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,8.05,scattered clouds
116,Haines Junction,CA,60.7522,-137.5108,57.15,41,81,4.61,broken clouds
117,Terra Santa,BR,-2.1042,-56.4869,85.66,42,64,4.32,broken clouds
118,Nikolskoye,RU,59.7035,30.7861,51.69,91,98,11.14,light rain
119,Biskamzha,RU,53.4497,89.5272,34.63,88,6,4.16,clear sky
120,Namatanai,PG,-3.6667,152.4333,82.65,66,42,3.29,scattered clouds
121,Maridi,SS,4.9158,29.4742,66.78,97,56,1.99,broken clouds
122,Hobart,AU,-42.8794,147.3294,53.26,76,40,10.36,scattered clouds
123,Kapaa,US,22.0752,-159.319,84.52,67,0,9.22,clear sky
124,Astoria,US,46.1879,-123.8313,66.7,67,0,8.05,clear sky
125,San Martin,AR,-33.081,-68.4681,72.14,21,0,17.45,clear sky
126,Messina,IT,38.1933,15.5497,79.18,69,40,10.36,scattered clouds
127,Cidreira,BR,-30.1811,-50.2056,61.59,76,3,18.79,clear sky
128,Kaitangata,NZ,-46.2817,169.8464,48.92,69,63,7.9,broken clouds
129,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,89,22,5.5,few clouds
130,Ngunguru,NZ,-35.6167,174.5,58.78,57,4,8.66,clear sky
131,Souillac,MU,-20.5167,57.5167,70.18,78,40,13.8,scattered clouds
132,La Ronge,CA,55.1001,-105.2842,66.42,48,75,8.05,broken clouds
133,Aquiraz,BR,-3.9014,-38.3911,79.18,82,52,11.21,broken clouds
134,Nicoya,CR,10.1483,-85.452,75.36,94,91,3.89,overcast clouds
135,Tuatapere,NZ,-46.1333,167.6833,53.01,61,73,6.04,light rain
136,Xambioa,BR,-6.4111,-48.5364,88.92,35,84,2.71,broken clouds
137,Mbuji-Mayi,CD,-6.15,23.6,71.31,86,98,4.14,overcast clouds
138,Ostrovnoy,RU,68.0531,39.5131,47.91,97,100,7.18,overcast clouds
139,Winslow,US,35.0242,-110.6974,87.98,8,0,25.32,clear sky
140,Great Yarmouth,GB,52.6083,1.7305,52.41,69,71,14.41,broken clouds
141,Araouane,ML,18.9048,-3.5265,97.57,17,32,5.79,scattered clouds
142,Eureka,US,40.8021,-124.1637,69.75,81,100,8.01,overcast clouds
143,Castro,BR,-24.7911,-50.0119,51.12,79,0,9.55,clear sky
144,Ucluelet,CA,48.9329,-125.5528,66.51,71,100,4.0,overcast clouds
145,Bima,ID,-8.4667,118.7167,76.62,72,89,2.8,overcast clouds
146,College,US,64.8569,-147.8028,54.46,63,75,4.0,broken clouds
147,Dikson,RU,73.5069,80.5464,31.59,78,23,12.71,few clouds
148,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,38,12.93,light rain
149,Valparaiso,CL,-33.0393,-71.6273,60.01,95,100,5.75,overcast clouds
150,Gezing,AT,47.9178,13.1299,46.51,95,75,6.91,moderate rain
151,Namangan,UZ,40.9983,71.6726,68.23,20,98,6.85,overcast clouds
152,Gazanjyk,TM,39.2446,55.5154,73.85,30,1,9.42,clear sky
153,Tura,IN,25.5198,90.2201,73.92,88,31,3.4,scattered clouds
154,Cardenas,CU,23.0375,-81.2047,77.76,79,99,12.33,overcast clouds
155,Kuala Terengganu,MY,5.3302,103.1408,76.95,100,20,2.3,few clouds
156,Hakkari,TR,37.5833,44.1667,53.38,50,0,2.3,clear sky
