City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2022-09-17 02:07:16,64.3833,-173.3,44.38,95,100,32.99
1,Albany,US,2022-09-17 02:05:58,42.6001,-73.9662,57.63,84,91,4.14
2,Mataura,NZ,2022-09-17 02:07:16,-46.1927,168.8643,56.08,44,18,2.1
3,Kapaa,US,2022-09-17 02:07:17,22.0752,-159.319,84.18,75,100,5.75
4,Punta Arenas,CL,2022-09-17 02:07:17,-53.15,-70.9167,41.11,70,75,17.27
5,Saskylakh,RU,2022-09-17 02:07:17,71.9167,114.0833,34.02,95,100,22.79
6,Airai,TL,2022-09-17 02:07:18,-8.9266,125.4092,79.18,25,75,3.0
7,Caravelas,BR,2022-09-17 02:07:18,-17.7125,-39.2481,71.31,90,0,5.91
8,Chokurdakh,RU,2022-09-17 02:07:19,70.6333,147.9167,37.13,71,90,2.75
9,Hithadhoo,MV,2022-09-17 02:07:19,-0.6,73.0833,81.25,74,100,6.44
10,Narsaq,GL,2022-09-17 02:07:19,60.9167,-46.05,59.22,69,100,14.47
11,Los Llanos De Aridane,ES,2022-09-17 02:07:20,28.6585,-17.9182,71.35,86,0,5.99
12,Tiznit,MA,2022-09-17 02:07:20,29.5833,-9.5,64.63,91,75,5.03
13,Kachiry,KZ,2022-09-17 02:07:21,53.0675,76.1036,47.71,57,10,6.08
14,Itoman,JP,2022-09-17 02:07:21,26.1247,127.6694,86.02,86,75,24.16
15,Vila Franca Do Campo,PT,2022-09-17 02:07:21,37.7167,-25.4333,71.2,92,79,5.3
16,Rikitea,PF,2022-09-17 02:07:22,-23.1203,-134.9692,72.27,72,0,15.55
17,Ushuaia,AR,2022-09-17 02:07:23,-54.8,-68.3,42.46,61,75,6.91
18,Kodiak,US,2022-09-17 02:07:23,57.79,-152.4072,53.11,87,100,10.36
19,Avarua,CK,2022-09-17 02:07:24,-21.2078,-159.775,80.65,61,20,14.97
20,Busselton,AU,2022-09-17 02:07:24,-33.65,115.3333,59.7,81,100,10.16
21,Chuy,UY,2022-09-17 02:07:25,-33.6971,-53.4616,56.07,79,0,11.56
22,Qaanaaq,GL,2022-09-17 02:07:25,77.484,-69.3632,26.1,79,41,7.25
23,Suntar,RU,2022-09-17 02:07:26,62.1444,117.6319,46.89,70,14,9.37
24,Pachino,IT,2022-09-17 02:07:26,36.7186,15.0907,76.75,80,1,10.36
25,Cardston,CA,2022-09-17 02:07:26,49.2,-113.3019,59.32,37,2,8.7
26,Mount Isa,AU,2022-09-17 02:07:27,-20.7333,139.5,87.57,13,0,9.22
27,Ribeira Grande,PT,2022-09-17 02:07:27,38.5167,-28.7,73.54,85,40,10.58
28,Zyryanka,RU,2022-09-17 02:07:27,65.75,150.85,42.76,57,81,4.81
29,Stromness,GB,2022-09-17 02:07:28,58.965,-3.296,50.88,82,100,13.0
30,Bluff,NZ,2022-09-17 02:07:28,-46.6,168.3333,50.2,60,17,8.43
31,Kruisfontein,ZA,2022-09-17 02:07:29,-34.0033,24.7314,55.89,81,100,10.07
32,Mehamn,NO,2022-09-17 02:07:29,71.0357,27.8492,46.35,93,100,18.41
33,Galveston,US,2022-09-17 02:07:29,29.3669,-94.9669,81.18,88,0,10.36
34,Kars,TR,2022-09-17 02:07:30,40.602,43.095,45.05,70,0,2.3
35,Udachnyy,RU,2022-09-17 02:07:30,66.4167,112.4,31.64,72,100,23.64
36,Butaritari,KI,2022-09-17 02:07:31,3.0707,172.7902,82.26,71,48,14.23
37,Cherskiy,RU,2022-09-17 02:07:31,68.75,161.3,40.5,64,94,13.51
38,Castro,BR,2022-09-17 02:07:32,-24.7911,-50.0119,48.9,94,69,9.42
39,Mazatlan,MX,2022-09-17 02:05:04,23.2167,-106.4167,88.02,84,75,8.05
40,New Norfolk,AU,2022-09-17 02:07:32,-42.7826,147.0587,59.72,65,100,3.0
41,Mazagao,BR,2022-09-17 02:07:33,-0.115,-51.2894,84.25,96,48,4.16
42,Fairbanks,US,2022-09-17 02:05:02,64.8378,-147.7164,61.09,57,75,4.61
43,Pampierstad,ZA,2022-09-17 02:07:33,-27.7832,24.6877,60.37,29,17,8.05
44,Kayerkan,RU,2022-09-17 02:07:33,69.3497,87.7602,32.85,81,97,1.3
45,Papetoai,PF,2022-09-17 02:07:34,-17.4961,-149.8729,83.79,68,2,22.08
46,Kokoda,PG,2022-09-17 02:07:34,-8.8785,147.7407,88.2,57,94,6.4
47,Constitucion,CL,2022-09-17 02:07:34,-35.3333,-72.4167,53.29,95,100,8.3
48,Norrtalje,SE,2022-09-17 02:07:35,59.758,18.705,51.03,95,100,12.77
49,Baker City,US,2022-09-17 02:04:57,44.7749,-117.8344,65.19,51,40,13.8
50,Taoudenni,ML,2022-09-17 02:07:35,22.6783,-3.9836,90.27,17,0,10.47
51,Bambous Virieux,MU,2022-09-17 02:07:36,-20.3428,57.7575,70.21,78,40,13.8
52,Avera,US,2022-09-17 02:07:36,33.194,-82.5271,71.11,63,0,6.73
53,San Cristobal,VE,2022-09-17 02:07:37,7.7669,-72.225,75.38,95,99,2.01
54,Rio Gallegos,AR,2022-09-17 02:07:37,-51.6226,-69.2181,37.45,70,75,6.91
55,Hilo,US,2022-09-17 02:06:31,19.7297,-155.09,87.28,78,75,11.5
56,Isangel,VU,2022-09-17 02:07:37,-19.55,169.2667,78.19,66,77,11.43
57,Port Alfred,ZA,2022-09-17 02:07:38,-33.5906,26.891,59.18,88,100,4.0
58,Port Augusta,AU,2022-09-17 02:07:38,-32.5,137.7667,60.13,50,100,20.24
59,Skibbereen,IE,2022-09-17 02:07:39,51.55,-9.2667,48.25,81,2,4.97
60,Chapais,CA,2022-09-17 02:02:46,49.7834,-74.8492,41.49,74,6,1.57
61,Saint-Philippe,RE,2022-09-17 02:07:39,-21.3585,55.7679,67.59,83,44,15.99
62,Atuona,PF,2022-09-17 02:07:40,-9.8,-139.0333,76.68,71,10,18.66
63,Emerald,AU,2022-09-17 02:07:13,-23.5333,148.1667,78.35,50,38,12.1
64,Severo-Kurilsk,RU,2022-09-17 02:07:40,50.6789,156.125,52.77,71,14,16.53
65,Khatanga,RU,2022-09-17 02:07:40,71.9667,102.5,30.02,91,96,15.41
66,Guerrero Negro,MX,2022-09-17 02:07:41,27.9769,-114.0611,70.09,77,0,18.5
67,Hue,VN,2022-09-17 02:07:41,16.4667,107.6,86.11,70,40,5.75
68,Dubovka,RU,2022-09-17 02:07:42,49.0583,44.829,63.55,91,96,14.12
69,San Juan,AR,2022-09-17 02:04:38,-31.5375,-68.5364,70.36,19,100,12.75
70,Ponta Do Sol,PT,2022-09-17 02:07:42,32.6667,-17.1,75.7,71,22,8.14
71,Dunedin,NZ,2022-09-17 02:07:43,-45.8742,170.5036,54.81,62,35,1.99
72,Kumluca,TR,2022-09-17 02:07:43,36.3703,30.2869,79.84,47,0,2.91
73,Arraial Do Cabo,BR,2022-09-17 02:07:44,-22.9661,-42.0278,66.34,74,99,9.17
74,Vao,NC,2022-09-17 02:07:44,-22.6667,167.4833,71.42,70,81,15.7
75,Varhaug,NO,2022-09-17 02:07:44,58.6147,5.6457,51.89,70,60,34.43
76,Rincon,US,2022-09-17 02:07:45,32.296,-81.2354,75.85,78,40,4.61
77,Gladstone,AU,2022-09-17 02:07:45,-23.85,151.25,73.33,88,100,3.44
78,Tsumeb,NA,2022-09-17 02:07:46,-19.2333,17.7167,65.8,18,0,7.94
79,Mar Del Plata,AR,2022-09-17 02:07:46,-38.0023,-57.5575,58.08,92,0,15.99
80,Richards Bay,ZA,2022-09-17 02:07:47,-28.783,32.0377,70.95,65,5,14.0
81,Bethel,US,2022-09-17 02:07:47,41.3712,-73.414,63.48,78,0,3.44
82,Manado,ID,2022-09-17 02:07:47,1.487,124.8455,88.57,66,20,2.3
83,Puerto Ayora,EC,2022-09-17 02:07:48,-0.7393,-90.3518,65.55,93,22,7.87
84,Nizhneangarsk,RU,2022-09-17 02:07:49,55.7833,109.55,48.18,50,1,7.25
85,Mogadishu,SO,2022-09-17 02:06:26,2.0371,45.3438,77.09,78,100,15.77
86,Lagoa,PT,2022-09-17 02:07:49,39.05,-27.9833,72.73,83,41,11.77
87,Tiksi,RU,2022-09-17 02:07:49,71.6872,128.8694,36.75,97,100,7.27
88,Pisco,PE,2022-09-17 02:07:31,-13.7,-76.2167,59.05,88,75,6.91
89,Esperance,AU,2022-09-17 02:07:50,-33.8667,121.9,59.31,67,48,13.58
90,Zhigansk,RU,2022-09-17 02:07:50,66.7697,123.3711,39.76,66,43,16.91
91,Yellowknife,CA,2022-09-17 02:07:51,62.456,-114.3525,59.56,67,57,8.99
92,Batagay-Alyta,RU,2022-09-17 02:07:51,67.8006,130.4114,43.05,55,90,9.62
93,Yar-Sale,RU,2022-09-17 02:07:52,66.8333,70.8333,48.99,74,100,8.55
94,Cape Town,ZA,2022-09-17 02:07:52,-33.9258,18.4232,56.12,85,95,1.99
